,Naam,Gemeente,"NACE BEL 2008,
primaire code","Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Turnover LY
dz EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",Ondernemingsnummer,Postcode,Adres,Telefoon,Web adres,E-mail adres
161.,DE WIT BUNKERING,ANTWERPEN,46900,16,"80,166","8,557,948",0412 697 584,2030,Asiadok-Oostkaai 28D,+32 3 231 36 36,www.dewit-bunkering.com,info@dewit-bunkering.com
162.,WARENHUIZEN ALMA,MOL,47115,205,"79,997","26,369,212",0404 216 222,2400,Kruisven 40,+32 14 31 58 91,www.almanv.be,
163.,TOP MOTORS WEVELGEM,WEVELGEM,45111,48,"79,541","21,736,396",0665 611 426,8560,Kortrijkstraat 506,+32 56 37 90 00,www.topmotors.be,
164.,VLEESWAREN DE KEYSER,AALTER,10130,142,"79,384","42,900,040",0413 958 584,9880,Groendreef 41,+32 9 374 32 91,www.dekeyser.be,vleeswaren@dekeyser.be
165.,WILLEM SPOORMANS,MERKSEM,10910,9,"79,369","17,923,478",0413 022 238,2170,Eugeen Meeusstraat 6,+32 3 641 02 10,,info@spoormans.com
166.,WHIRLPOOL BELUX,STROMBEEK-BEVER,46431,77,"79,359","36,281,670",0423 029 569,1853,Nijverheidslaan 3 b.1,+32 2 263 33 83,www.whirlpool.com,info@email.whirlpool.com
167.,KIM'S CHOCOLATES,TIENEN,10820,170,"79,340","29,630,954",0479 966 787,3300,Grijpenlaan 11,+32 16 55 15 80,www.kimchoc.be,
168.,VAN DER ERVE,ZAVENTEM,74101,15,"79,300","36,068,270",0440 795 120,1930,Weiveldlaan 41,+32 2 725 73 63,www.vandererve.be,info@vandererve.be
169.,VERITAS,KONTICH,47715,128,"79,264","26,074,161",0476 588 912,2550,De Villermontstraat 9,+32 3 450 11 11,,
170.,GILEAD SCIENCES BELGIUM,DIEGEM,46460,40,"78,947","40,363,434",0882 565 584,1831,Culliganlaan 2D,+32 2 401 35 50,,
171.,BEEUWSAERT CONSTRUCT,LEDEGEM,41203,112,"78,793","28,189,513",0862 207 858,8880,Nijverheidslaan 3,+32 56 43 18 43,www.beeuwsaert-construct.be,
172.,CROSSRAIL BENELUX,BORGERHOUT,49200,154,"78,756","18,652,680",0471 783 353,2140,Noordersingel 21,+32 3 560 21 19,www.dlcargo.com/,info@dlcargo.com
173.,ARTISLACH,MELDERT-BIJ-AALST,10120,33,"78,659","23,530,891",0405 714 178,9310,Kokerijstraat 50,+32 52 35 58 80,,info@artislach.be
174.,COMPUTA CENTER,ZAVENTEM,62020,182,"78,322","25,964,907",0466 288 601,1930,Ikaroslaan 31,+32 2 704 94 11,www.computacenter.com,infobelgium@computacenter.com
175.,HAMLET,VRASENE,46360,29,"78,043","40,642,483",0414 751 214,9120,Kerkstraat 77,+32 3 750 99 50,,info@hamlet.be
176.,OLIEFABRIEK VANDAMME,DEINZE,10410,14,"77,930","30,827,776",0447 014 701,9800,Europalaan 63,+32 9 386 75 12,www.groupvandamme.com,
177.,FLA EUROPE,BEVERE,46423,18,"77,870","35,079,379",0420 212 809,9700,Lindestraat 58,+32 55 30 54 20,www.fla-europe.com,info@fla-europe.com
178.,VLAAMSE VISVEILING,ZEEBRUGGE,46170,59,"77,809","10,043,371",0460 153 350,8380,Noordzeestraat 201,+32 50 55 99 33,www.pela.com,
179.,SWAEGERS & CO,HOOGSTRATEN,46321,28,"77,769","13,465,853",0421 836 370,2320,Industrieweg 5,+32 3 314 82 10,www.swaegers.be,info@swaegers.be
180.,BUILDING GROUP JANSEN,OUDSBERGEN,43390,158,"77,768","38,979,911",0412 003 045,3670,Fabriekstraat 2,+32 11 79 92 00,www.jansen-meeuwen.be,info@jansen-meeuwen.be
181.,BOUTTENS,KUURNE,46732,24,"77,532","33,855,635",0405 317 765,8520,Noordlaan 4,+32 56 35 01 44,,bouttens@skynet.be
182.,DUBAERE,MEULEBEKE,43999,18,"76,981","35,033,684",0426 608 473,8760,Tieltstraat 176,+32 51 48 59 44,www.dubaeremetaalhandel.be,verkoop@dubaeremetaalhandel.be
183.,KIPCO - DAMACO,OOSTROZEBEKE,10120,56,"76,938","22,915,977",0464 952 078,8780,Dentergemstraat 164,+32 56 67 62 11,www.kipco-damaco.com,info@kipco-damaco.be
184.,GLS BELGIUM DISTRIBUTION,DROGENBOS,49410,242,"76,915","42,390,861",0883 914 874,1620,Humaniteitslaan 233,+32 12 39 50 68,,
185.,FIRMA BEEL,WORTEGEM,46610,75,"76,838","40,021,469",0411 897 038,9790,Waregemseweg 75,+32 56 68 82 07,,
186.,BRAEM,HANDZAME,45193,219,"76,254","33,648,935",0433 912 375,8610,Handzaamse Nieuwstraat 7,+32 51 57 58 58,www.braem.be,info@braem.be
187.,BACARDI-MARTINI N.V.,VILVOORDE,46170,87,"75,941","29,028,429",0405 839 783,1800,Medialaan 50,+32 2 897 90 99,www.bacardi.com,
188.,JURI,ZELE,41203,141,"75,683","42,446,262",0427 377 941,9240,Industriestraat 21,+32 52 45 07 17,www.juri.be,info@juri.be
189.,KLOECKNER METALS BELGIUM,HARELBEKE,46741,63,"75,580","28,508,970",0405 319 547,8530,Keizersstraat 50,+32 56 26 80 80,www.buysmetal.be,info@buysmetal.be
190.,VP OIL,ANTWERPEN,47300,57,"75,404","15,476,246",0421 934 657,2018,Brusselstraat 59 b.1,,,
191.,LOUYET AUTOMOTIVE NORTH,SINT-PIETERS-LEEUW,45113,47,"75,118","10,500,181",0479 004 608,1600,Bergensesteenweg 720,+32 2 360 08 80,www.vandeperre.bmw.be,
192.,VANNIEUWENHUYSE,ZARREN,46231,37,"75,117","16,170,495",0428 524 521,8610,Esenstraat 22A,+32 51 56 60 74,,vnh@skynet.be
193.,COCK'S VLEESWAREN,SINT-NIKLAAS,10130,25,"74,868","24,226,574",0444 853 876,9100,Industriepark-Noord 14,+32 3 760 12 50,www.cocks.be,info@cocks.be
194.,ALGEMENE ONDERNEMINGEN ROBERT WYCKAERT,GENT,41203,142,"74,846","32,533,475",0428 661 806,9000,Ottergemsesteenweg 415,+32 9 222 60 24,www.wyckaertbouw.be,wyckaert.bouw@wyckaertbouw.be
195.,TRELLEBORG WHEEL SYSTEMS - BELGIUM,EVERGEM,22190,48,"74,403","37,869,496",0402 981 847,9940,Brugsesteenweg 7,+32 9 257 22 00,www.trelleborg.com,novibra@trelleborg.com
196.,HGC HANOS,WOMMELGEM,46389,191,"74,084","32,800,600",0416 635 388,2160,Nijverheidsstraat 54,+32 3 608 41 41,www.rennes.be,info@rennes.be
197.,NB,WIJNEGEM,45113,53,"74,034","19,627,019",0889 342 223,2110,'s Gravenwezelsteenweg 59,+32 3 360 50 60,,
198.,SCANFOR,WOMMELGEM,52290,60,"73,917","14,965,203",0451 298 240,2160,Jacobsveldweg 14,+32 3 384 30 48,www.scanfor.be,info@scanfor.be
199.,RHENUS AIR & OCEAN,BORGERHOUT,52290,77,"73,824","17,864,500",0404 804 061,2140,Noordersingel 21,+32 2 752 15 80,www.transmarcom.be,transud@swing.be
200.,B-CLOSE,MECHELEN,46699,186,"73,815","31,027,703",0412 550 304,2800,Kruisbaan 68,+32 2 245 25 65,www.barloworld.be,info@handling.barloworld.be
201.,ART & CRAFT MEDIA,MARIAKERKE,47782,27,"73,720","17,267,734",0454 159 839,9030,Brugsesteenweg 466,+32 9 236 56 08,www.art-craft.be,info@artencraft.be
202.,GARAGE VANDECASTEELE,KORTRIJK,45113,51,"73,694","22,109,370",0419 129 872,8500,Kuurnsesteenweg 107,+32 69 88 91 91,www.garage.peugeot.be/vandecasteele-kortrijk,vandecasteele.kortrijk@peugeot.be
203.,VAN MOER RAIL,ZWIJNDRECHT,52100,139,"73,469","17,526,518",0466 169 330,2070,Vitshoekstraat 11,+32 3 254 09 09,www.vanmoergroup.com,
204.,PAESEN BOUWEXPO,PEER,46731,53,"73,244","28,712,589",0423 217 532,3990,Steenweg Linde 55,+32 11 66 55 54,,info@paesen.be
205.,V.V.M.,ANTWERPEN,23510,39,"73,165","30,323,070",0440 276 565,2030,Zwarteweg 49,+32 3 540 02 41,www.vaneeckhout.be,info@vaneeckhout.be
206.,ZIMMER BIOMET,DIEGEM,46460,119,"72,994","34,778,356",0474 708 991,1831,Culliganlaan 2A,+32 2 456 12 11,www.zimmer.com,zimmer.belgium@zimmer.com
207.,JENNES,BOORTMEERBEEK,45113,42,"72,771","20,384,521",0425 053 802,3190,Leuvensesteenweg 369,+32 16 60 21 34,www.jennes.com,info@jennes.vw.be
208.,VARESA,LOMMEL,46349,15,"72,636","21,053,426",0421 468 661,3920,Ondernemersstraat 32,+32 11 62 17 33,www.varesa.be,info@varesa.be
209.,REMI CLAEYS ALUMINIUM,LICHTERVELDE,24420,187,"72,576","37,380,919",0405 171 077,8810,Kortemarkstraat 52,+32 51 72 97 11,www.remi-claeys.be,
210.,SUNWARD EUROPE HEAVY INDUSTRY,TESSENDERLO,46699,25,"72,463","41,246,869",0555 891 459,3980,Havenlaan 1,+32 11 43 46 66,www.sunwardeurope.com,
211.,ABBOTT MEDICAL BELGIUM,ZAVENTEM,46460,85,"72,326","30,054,875",0441 665 942,1930,Da Vincilaan 11 b.F1,+32 2 774 69 00,www.sjmglobal.com,
212.,JADEMO,ZOTTEGEM,46321,50,"72,306","27,826,445",0480 146 139,9620,Ballingsweg 5 b.1,+32 9 326 81 00,www.jademo.be,
213.,D & D COMPUTERS,SINT-NIKLAAS,46510,41,"72,288","22,343,466",0439 010 617,9100,Oostjachtpark 6A,+32 3 780 20 20,www.ddcomputers.be,info@distribution.be
214.,CHEP BENELUX,MECHELEN,77399,146,"72,136","32,179,192",0417 307 856,2800,Bedrijvenlaan 1,+32 800 391 53,www.chep.com,info.benelux@chep.com
215.,AAK BELGIUM,MERKSEM,10420,87,"71,765","24,732,796",0547 965 074,2170,Borrewaterstraat 182,+32 3 641 44 00,aak.com,
216.,BISCUITERIE WILLEMS,EEKLO,10720,105,"71,763","38,661,127",0401 006 413,9900,Nieuwendorpe 33 b.C,+32 9 218 72 70,,willems.bvba@skynet.be
217.,MERCEDES - BENZ MECHELEN,MECHELEN,45113,73,"71,730","25,225,379",0467 071 430,2800,Brusselsesteenweg 359,+32 15 40 11 55,www.mechelen.mercedes.be,info@mechelen.mercedes-benz.be
218.,ATLAS-COPCO-BELGIUM,OVERIJSE,46695,165,"71,565","37,487,091",0400 617 324,3090,Brusselsesteenweg 346,+32 2 689 05 11,www.atlascopco.be,info@atlascopco.com
219.,UNISYS BELGIUM,DIEGEM,62020,96,"70,901","36,418,175",0405 914 514,1831,Telecomlaan 9,+32 2 728 07 11,www.unisys.be,unisysbelgium@be.unisys.com
220.,LEGO BELGIUM,BRASSCHAAT,46497,56,"70,847","22,630,818",0403 020 350,2930,Ruiterijschool 5,+32 3 633 21 30,www.lego.com,info@europe.lego.com
221.,FLANDERS BEST,LANGEMARK,46391,87,"70,815","42,851,699",0476 813 891,8920,Peperstraat 16,+32 57 48 97 70,,
222.,TRILEC,ZELLIK,46693,162,"70,739","28,553,582",0508 595 348,1731,Zuiderlaan 91,+32 53 60 17 10,www.trilec.be,
223.,ELEXYS,DEERLIJK,35140,11,"70,717","17,012,099",0824 304 218,8540,Kleine Tapuitstraat 18,+32 56 36 44 80,www.elexys.be,
224.,FEEDER ONE BELGIE,WOMMELGEM,46731,89,"70,401","28,130,864",0879 278 076,2160,Koralenhoeve 25,+32 3 355 38 80,pgzinternational.com,
225.,NVENT THERMAL BELGIUM,HEVERLEE,46699,127,"70,294","36,793,280",0476 282 965,3001,Romeinse Straat 14,+32 16 21 35 11,www.tycothermal.be,
226.,BIO - DYNAMICS,WIELSBEKE,43299,59,"70,290","26,233,916",0479 455 063,8710,Nijverheidstraat 28,+32 9 210 31 60,bio-dynamics.be,info@bio-dynamics.be
227.,VOEDERS OSTYN,ROESELARE,10910,14,"70,239","17,865,863",0405 585 308,8800,Kaaistraat 76,+32 51 22 17 68,www.ostynvoeders.be,ostyn.voeders@skynet.be
228.,VDP SAFETY,BOECHOUT,46421,48,"70,157","11,714,229",0452 226 074,2530,Binnensteenweg 160,+32 3 820 98 60,,
229.,PLASTIC OMNIUM AUTOMOTIVE BELGIUM,SINT-PIETERS-LEEUW,29320,88,"70,023","19,253,427",0644 938 548,1600,Drie Fonteinenstraat 17,,,
230.,CARPENTER BELGIUM,BEVEREN-ROESELARE,20160,106,"69,990","31,696,550",0417 651 415,8800,Wijnendalestraat 171,+32 51 23 02 11,www.dumo.be,info@dumo.be
231.,DECKX ALGEMENE ONDERNEMINGEN,DESSEL,42110,143,"69,985","32,330,799",0434 556 832,2480,Goormansdijk 15,+32 14 38 76 00,www.deckx-ao.be,info@deckx-ao.be
232.,COOX MOTORS,REKEM,45113,35,"69,723","10,674,139",0885 702 446,3621,Steenweg 102,+32 89 71 44 41,www.coox-motors.be,
233.,GOVI PRODUCTION COMPANY,DRONGEN,20590,58,"69,667","40,685,349",0449 321 519,9031,Landegemstraat 8,+32 9 281 11 36,www.govi.com,info@govi.com
234.,DR.OETKER,DIEGEM,46389,40,"69,582","22,190,338",0405 670 727,1831,De Kleetlaan 7b b.1,+32 2 725 36 37,,info@oetker.be
235.,EOC SURFACTANTS,EVERGEM,20420,48,"69,476","31,841,494",0462 882 515,9940,Durmakker 35,+32 55 23 58 58,www.eocgroup.com,info@eocgroup.com
236.,GROUP A,HASSELT,46731,26,"69,293","26,849,907",0417 514 724,3500,Luikersteenweg 254,+32 11 21 00 98,www.belisol.be,info@belisol.com
237.,BIDFOOD FLANDERS,KRUIBEKE,46392,67,"69,170","31,191,973",0886 575 545,9150,Kasteleinsstraat 17,+32 71 25 68 11,www.delixl.be,
238.,DEX,GITS,45113,16,"69,084","16,049,688",0466 985 120,8830,Bruggesteenweg 283,+32 51 26 01 01,www.dex.be,info@dex.be
239.,BRUHN SPEDITION,ANTWERPEN,52290,24,"69,063","31,320,167",0436 915 120,2000,Sint-Pietersvliet 3 b.6,+32 3 224 84 82,www.bruhnsped.be,secretariaat@bruhnsped.be
240.,DYKA PLASTICS,PELT,22230,183,"69,053","41,559,441",0414 467 340,3900,Stuifzandstraat 47,+32 11 80 04 20,www.dyka.com,dyka.be@dyka.com
241.,TRANSUNIVERSE FORWARDING,WONDELGEM,52249,96,"68,872","17,677,220",0449 443 659,9032,Industrieweg 118,+32 9 253 31 00,www.ictuc.com,
242.,SIKA BELGIUM,NAZARETH,23322,70,"68,774","27,996,273",0402 007 392,9810,Venecoweg 37,+32 9 381 65 00,www.sika.be,info@be.sika.com
243.,DAVO TONGEREN,TONGEREN,45201,61,"68,713","16,229,435",0438 056 750,3700,Maastrichtersteenweg 529,+32 12 23 71 55,www.davo.bmw.be,info@davo.net.bmw.be
244.,SUZUKI BELGIUM,KONTICH,45402,24,"68,611","17,889,286",0421 846 763,2550,Pierstraat 229,+32 3 450 04 11,www.suzuki.be,info@suzuki.be
245.,MOURIK,ANTWERPEN,41203,240,"68,601","37,294,725",0413 951 260,2030,Groenendaallaan 399,+32 3 542 20 40,www.mourik.com,fhoeben@mourik.be
246.,GOSSELIN FORWARDING SERVICES,DEURNE,52290,31,"68,543","10,711,852",0446 914 731,2100,Merksemsesteenweg 148,+32 3 325 18 74,www.art.be,art@art.be
247.,MOTRAC,ANTWERPEN,77399,186,"68,500","40,185,500",0428 244 805,2030,Noorderlaan 612,+32 3 360 11 11,www.motrac.be,sales.handling@motrac.be
248.,PGS DE BACKER PALLETS,POPERINGE,16240,80,"68,499","32,704,118",0426 292 630,8970,Sint-Jansstraat 19,+32 59 27 08 00,www.palettendebacker.be,info@palettendebacker.be
249.,KONSTRUKTIEWERKHUIZEN STAS,WAREGEM,29202,176,"68,209","28,454,183",0430 995 942,8790,Flanders-Fieldweg 45,+32 56 60 01 91,,
250.,PENTAIR WATER BELGIUM,HERENTALS,46190,24,"68,159","12,483,247",0884 743 334,2200,Toekomstlaan 30,+32 14 28 35 00,,
251.,DYNACO EUROPE,MOORSEL,25120,148,"67,898","37,603,113",0439 752 567,9310,Waverstraat 21,+32 53 72 98 98,www.dynacodoor.com,
252.,STREAMZ,VILVOORDE,60200,24,"67,618","35,593,714",0749 898 387,1800,Medialaan 38,,,
253.,BAKER & BAKER BENELUX (BE),ANTWERPEN,10890,175,"67,521","21,062,419",0508 615 342,2030,Noorderlaan 139 b.A,+32 3 641 71 00,www.werkenbijcsmbenelux.com,
254.,BIORIGIN EUROPE,ANTWERPEN,47112,10,"67,377","24,359,080",0825 096 450,2018,Appelmansstraat 12,+32 3 542 43 77,,
255.,YOUBUILD,MENEN,46731,120,"67,268","26,534,517",0808 616 447,8930,Ropswalle 26,+32 56 52 10 43,,
256.,RHENUS LOGISTICS,BORGERHOUT,52290,61,"67,260","28,431,938",0404 538 696,2140,Noordersingel 21,+32 3 541 36 67,www.rhenus.com,info@rhenus.be
257.,HORECA VAN ZON,LOMMEL,46389,53,"67,170","33,774,234",0419 131 456,3920,J. en R. Vlegelsstraat 7,+32 11 44 07 49,www.vanzon.be,info@vanzon.be
258.,JYSK,SCHOTEN,47599,250,"67,117","29,902,021",0666 889 252,2900,Bredabaan 1263,+32 460 942 251,www.jysk.com,
259.,XL ROC,WAREGEM,47252,184,"66,994","9,057,181",0874 264 958,8790,Anzegemseweg 14,+32 56 73 30 00,,
260.,EMIEL DE ROECK EN ZONEN,SINT-KATELIJNE-WAVER,46319,15,"66,938","21,887,653",0893 820 653,2860,Hoveniersstraat 47,+32 2 242 62 20,,
261.,SCANCAR,DEURNE,45113,61,"66,783","16,053,884",0425 149 614,2100,Bisschoppenhoflaan 525,+32 3 360 69 69,www.scancar.be/,info@scancar.be
262.,UNITAS UNITED SHIPPING AND TRUCKING COMPANY,MERKSEM,52290,10,"66,774","21,119,716",0418 488 286,2170,Rodeloopstraat 67,+32 3 641 86 20,,chartering@unitas-nv.com
263.,IBS INDUSTRIAL,MELSELE,41203,117,"66,715","23,016,883",0449 550 359,9120,Slekkenstraat 12,+32 3 260 16 00,www.ibs-industrial.be,info@ibs-industrial.be
264.,BELGIAN CAR PARTS,ZELE,45310,46,"66,655","29,905,701",0649 600 189,9240,Poldergotestraat 26,+32 488 141 954,www.bestparts.be,
265.,MOBILE VIKINGS,HASSELT,61900,71,"66,543","29,359,889",0886 946 917,3500,Kempische Steenweg 309 b.1,+32 11 71 74 34,unleashed.be,
266.,AGARIS BELGIUM,GENT,20150,76,"66,338","29,554,241",0426 540 969,9042,Skaldenstraat 7A,+32 9 218 03 30,www.agrofino.be,
267.,SKF BELGIUM,DIEGEM,46699,102,"66,187","36,101,399",0830 910 611,1831,Berkenlaan 8C,+32 2 729 66 11,www.skf.com,
268.,HKS BELGIUM,GEEL,46720,19,"65,758","18,869,209",0827 655 072,2440,Eindhoutseheide 2,+32 14 86 64 41,,
269.,MERCEDES - BENZ DROGENBOS,DROGENBOS,45113,76,"65,308","25,815,210",0412 595 735,1620,Grote Baan 340,+32 2 558 16 00,,info@drogenbos.mercedes-benz.be
270.,VWR INTERNATIONAL EUROPE,HEVERLEE,82110,74,"65,261","27,914,981",0478 391 924,3001,Geldenaaksebaan 464,+32 16 38 50 11,,
271.,SUPREMO,SINT-MICHIELS,46370,13,"65,222","23,248,483",0436 434 078,8200,Koning Albert I-laan 94C b.101,+32 50 44 20 60,www.supremo.be,coffee@supremo.be
272.,SVEX,KALLO (KIELDRECHT),38219,130,"65,115","18,725,387",0878 075 276,9130,Molenweg 910,+32 3 570 72 11,,
273.,GROEP KENIS,TURNHOUT,45113,41,"65,058","18,677,774",0413 063 018,2300,Steenweg op Gierle 314,+32 14 41 67 76,,
274.,HORECA TOTAAL BRUGGE,BRUGGE,46392,172,"64,747","26,968,050",0898 196 343,8000,Sint-Pietersgroenestraat 8-10,+32 50 31 31 59,,
275.,COOP-APOTHEKEN,GENT,47730,209,"64,672","23,487,124",0421 598 226,9000,Nieuwevaart 151,+32 9 216 68 21,www.coopapotheken.be,info@cvvooruit.be
276.,STILL,WIJNEGEM,46620,133,"64,466","30,045,524",0418 911 326,2110,Vosveld 9,+32 3 360 62 00,www.still.be,info@still.be
277.,MIG MOTORS GENT,GENT,45113,71,"64,156","21,036,524",0444 668 388,9000,Zeeschipstraat 137,+32 9 216 70 50,www.vw.be,
278.,NORENCA,GEEL,46231,29,"64,123","20,338,271",0414 573 842,2440,Winkelom 58,+32 14 58 45 11,www.norenca.be,info@norenca.be
279.,JM. BRUNEAU BELGIUM,GENT,47910,44,"64,119","10,186,893",0465 015 822,9000,Espl Oscar Van de Voorde 1,+32 9 241 72 50,www.jm-bruneau.be,
280.,PREFLEXIBEL,NINOVE,46693,59,"64,105","23,703,708",0449 181 561,9400,Elisabethlaan 153,+32 54 34 46 64,www.preflexibel.be,info@preflexibel.com
281.,ABELAG AVIATION,WEVELGEM,51100,61,"63,890","42,581,959",0427 155 930,8560,Kortrijkstraat 345 b.D,+32 56 40 39 11,www.abelag.be,
282.,REMANT AFRICA LOGISTICS,ANTWERPEN,52290,19,"63,767","11,774,149",0440 163 234,2000,Oudeleeuwenrui 25,+32 3 205 66 00,www.remant.be,info@remant.be
283.,CHARLIER - BRABO GROUP,AARTSELAAR,46389,59,"63,739","37,839,686",0404 625 305,2630,Boomsesteenweg 28,+32 3 238 99 70,www.elvea.be,info@cbg.be
284.,THYSSENKRUPP STEEL HEAVY PLATE ANTWERP,ANTWERPEN,46720,30,"63,531","28,804,067",0899 168 521,2030,Vrieskaai 42,+32 3 555 98 50,www.antwerpdecoil.be,
285.,EVERLAM,MECHELEN,46751,19,"63,350","27,900,934",0545 756 444,2800,Blokhuisstraat 47 J,+32 15 48 08 00,www.everlam.com,
286.,HOUBEN,HASSELT,41203,99,"63,342","36,927,871",0416 669 933,3500,Prins-Bisschopssingel 36 b.5,+32 11 26 96 00,,
287.,SIMBA TOYS BENELUX,AALBEKE,46497,48,"63,215","34,239,113",0432 406 994,8511,Moeskroensesteenweg 383 C,+32 56 22 45 74,www.nicotoy.be,nicotoy@skynet.be
288.,AC BRUSSELS,OVERIJSE,45113,69,"62,988","10,361,541",0821 129 645,3090,Brusselsesteenweg 343,+32 2 712 60 20,www.acbrussels-diplomatsales.be,
289.,MONDI POPERINGE,POPERINGE,17120,125,"62,919","34,141,795",0405 499 788,8970,Nijverheidslaan 11,+32 57 33 36 88,www.mondigroup.com/en/about-mondi/where-we-operate/our-locations/europe/belgium/mondi-poperinge,verkoop.poperinge@frantschach.com
290.,GROUP THYS,KAPELLEN,16230,63,"62,830","30,759,072",0433 355 121,2950,Kapelsestraat 127,+32 3 660 15 05,www.thysinterieur.be,thys@thysinterieur.be
291.,FLYING SERVICE,DEURNE,51100,76,"62,801","26,876,795",0424 612 055,2100,Luchthavenlei 1 b.18,+32 3 286 86 00,www.flying-service.com,
292.,KARCHER,WILRIJK,46620,93,"62,771","18,356,479",0418 334 076,2610,Boomsesteenweg 939,+32 3 340 07 11,www.karcher.be,
293.,MOTEO TWO WHEELS EUROPE,KONTICH,45401,36,"62,679","39,261,741",0421 855 572,2550,Satenrozen 8,+32 3 450 17 10,www.alcopa2wheels.com,sales@motana.be
294.,AMADYS TELECOM,ANTWERPEN,46520,14,"62,618","42,937,913",0471 500 469,2000,Sint-Pietersvliet 7,+32 3 633 02 98,,
295.,BUMACO KOELTECHNIEK,ROTSELAAR,46699,200,"62,581","29,372,615",0455 064 414,3110,Stationsstraat 216,+32 16 44 69 73,www.bumaco.be,
296.,SONOCO CONSUMER PRODUCTS MECHELEN,MECHELEN,17210,176,"62,451","32,308,614",0455 930 583,2800,Egide Walschaertsstraat 7,+32 15 44 89 10,www.weidenhammer.de,
297.,HANDELSKWEKERIJ WILLAERT,ROESELARE,01301,54,"62,434","21,394,857",0431 911 504,8800,Hazegoedweg 5,+32 51 24 13 44,www.willaert.be,info@willaert.be
298.,MEDIA MARKT TWEE TORENS HASSELT,HASSELT,47430,32,"62,432","13,437,016",0860 056 933,3500,Biezenstraat 51,+32 11 68 18 61,,
299.,CULINOR,DESTELBERGEN,10850,238,"62,399","30,250,727",0432 833 301,9070,Houtstraat 46,+32 9 229 05 11,www.culinor.com,info@culinor.com
300.,DIDAK INJECTION,GROBBENDONK,22220,95,"62,338","24,110,915",0428 125 831,2280,Industrieweg 1,+32 14 50 79 60,www.didak.be,info@didak.be
301.,BILIA VERSTRAETEN,LOCHRISTI,45113,42,"62,332","22,738,644",0448 629 354,9080,Antwerpse Steenweg 81 85,+32 9 356 82 64,,info@verstraeten.net.bmw.be
302.,OSTEND BASIC CHEMICALS,ZANDVOORDE (OOSTENDE),20140,27,"62,313","27,076,107",0453 390 074,8400,Stationsstraat 123 b.2,+32 59 56 21 00,www.proviron.com,sales@proviron.com
303.,REMANT COOL LOGISTICS,ANTWERPEN,52290,28,"62,262","11,250,544",0831 570 112,2000,Oudeleeuwenrui 25,+32 3 303 26 00,,
304.,IMPERMO - STULTJENS,SINT-TRUIDEN,47523,117,"62,205","26,323,507",0408 286 856,3800,Tiensesteenweg 127,+32 11 68 10 26,www.impermo.be,info@impermo.be
305.,UPS SCS (BELGIUM),ANTWERPEN,53200,83,"62,187","24,163,567",0406 685 465,2030,Noorderlaan 147,+32 3 223 82 60,www.ups.com,fcieuroadmin@ups-scs.com
306.,HOSPITAL LOGISTICS,AARSCHOT,52100,116,"62,177","26,453,415",0457 151 892,3200,Gaston Geenslaan 33,+32 16 56 47 44,www.hospitallogistics.be,info@hospitallogistics.be
307.,METALLUM METAL TRADING,SCHOTEN,38322,11,"62,164","15,437,934",0459 103 374,2900,Liebiglaan 124,+32 3 644 01 02,www.antwerp-metals.be,
308.,CHINTAMANI,ANTWERPEN,46761,9,"62,084","19,187,239",0873 540 329,2018,Schupstraat 9-11 b.41,+32 488 721 481,,
309.,DXC TECHNOLOGY BELGIUM,MECHELEN,62010,226,"62,036","30,143,153",0451 042 476,2800,Blarenberglaan 2,+32 15 78 37 11,www.csc.com,general-information_belgium@csc.com
310.,RHENUS INTERMODAL SYSTEMS,BORGERHOUT,52290,33,"62,031","15,800,540",0445 459 632,2140,Noordersingel 21,+32 3 224 58 00,www.maxx.be,
311.,BOUWONDERNEMING CHRISTIAENS,OOSTKAMP,41201,112,"61,916","23,985,445",0426 003 214,8020,Legeweg 155,+32 50 36 37 41,www.christiaens-bouw.be,info@christiaens-bouw.be
312.,HERFURTH LOGISTICS,ANTWERPEN,52290,81,"61,682","13,038,716",0445 364 909,2060,Cassiersstraat 19,+32 3 221 28 00,www.herfurth-logistics.com,
313.,VERDUYN,KORTEMARK,46319,74,"61,645","42,883,373",0415 168 116,8610,Galgestraat 9,+32 51 57 00 56,www.verduyn.be,info@verduyn.be
314.,HEMELAER,TEMSE,46321,24,"61,629","16,105,107",0833 906 921,9140,Haagdam 2A,+32 52 37 22 06,www.hemelaerindoor.be,
315.,BUCKMAN LABORATORIES,GENT,20140,59,"61,408","26,911,704",0401 065 997,9000,Wondelgemkaai 157,+32 9 257 92 11,www.buckman.com,belgium@buckman.com
316.,JAS FORWARDING WORLDWIDE (BELGIUM),ANTWERPEN,52290,39,"61,352","14,545,998",0833 843 276,2030,Noorderlaan 139,+32 3 293 26 50,,
317.,TER BEKE VLEESWARENPRODUKTIE,LIEVEGEM,10130,144,"61,330","42,239,522",0406 175 424,9950,Beke 1,+32 9 370 12 11,www.terbeke.com,info@terbeke.be
318.,REMANT GLOBE LOGISTICS,ANTWERPEN,52290,29,"61,321","13,706,276",0444 298 897,2000,Oudeleeuwenrui 25,+32 3 205 66 00,remant.be,
319.,EURO - GIJBELS,GEEL,46319,26,"61,180","22,305,774",0439 703 374,2440,Acaciastraat 21,+32 14 86 61 01,www.eurogijbels.be,info@eurogijbels.be
