,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
84,BOSTON SCIENTIFIC BENELUX,DIEGEM,61,44882358,19713300,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 374 09 54,,BE0450258756,11758470,0450 258 756,Lambroekstraat 5D,1831,,Handelsbemiddeling gespecialiseerd in andere goederen,Niet beursgenoteerd
85,CHIESI,DIEGEM,54,44851943,17925230,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 788 42 00,,BE0826654883,13272433,0826 654 883,Telecomlaan 9,1831,www.chiesi.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
86,ABBOTT VASCULAR INTERNATIONAL,DIEGEM,80,44832008,42563686,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 714 14 11,,BE0886537933,19021305,0886 537 933,Culliganlaan 2B,1831,www.abbottvascular.com,Activiteiten van hoofdkantoren,Niet beursgenoteerd
87,KANEKA MEDICAL EUROPE,SINT-STEVENS-WOLUWE,5,44804405,27298746,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 663 03 40,finechem@kaneka.be,BE0453722745,10700752,0453 722 745,Lenneke Marelaan 8,1932,www.kaneka.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
88,OTIS ELEVATOR WORLDWIDE,GROOT-BIJGAARDEN,5,44566633,33782550,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0652780207,8404070,0652 780 207,Stationsstraat 34,1702,,Holdings,Niet beursgenoteerd
89,ACE PACKAGING,DIEST,89,44426239,45056424,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 35 92 00,info@eurozak.be,BE0400942669,8612091,0400 942 669,Industrieterrein I 1 b.1,3290,www.eurozak.be,Vervaardiging van papier en karton,Niet beursgenoteerd
90,GARAGE JUMA LEUVEN,HERENT,46,44335316,13861964,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 69 77 04,info@vanavondtherent.net.bmw.be,BE0406467315,4606106,0406 467 315,Brusselsesteenweg 72,3020,www.vanavondt.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
91,KIMBERLY - CLARK,DIEGEM,17,44288974,134116941,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 305 80 31,,BE0404048451,3795360,0404 048 451,Grensstraat 7,1831,www.kimberly-clark.com,Vervaardiging van huishoudelijke en sanitaire papierwaren,Niet beursgenoteerd
92,ECOLAB,GROOT-BIJGAARDEN,108,44222249,105276207,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 67 06 90,be-customerservice@ecolab.com,BE0403091121,17134137,0403 091 121,Noordkustlaan 16C,1702,www.ecolab.com,Vervaardiging van poets- en reinigingsmiddelen,Niet beursgenoteerd
93,"KPMG TAX,LEGAL & ACCOUNTANCY",BRUCARGO (ZAVENTEM),177,44107433,21270887,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 773 36 11,,BE0444333739,19000930,0444 333 739,Bedrijven Machelen-Cargo 1K,1931,www.kpmg.be,Accountants en belastingconsulenten,Niet beursgenoteerd
94,SAS INSTITUTE,TERVUREN,132,43760154,43856177,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 766 07 00,info@sbx.sas.com,BE0434697184,22015441,0434 697 184,Hertenbergstraat 6,3080,www.sas.com,Ontwerpen en programmeren van computerprogramma's,Niet beursgenoteerd
95,ACV INTERNATIONAL,DWORP,20,43755689,63994957,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 334 82 45,,BE0464842608,-1512885,0464 842 608,Oude Vijverweg 6,1653,www.acv.be,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming,Niet beursgenoteerd
96,WORLD COURIER BELGIUM,ZAVENTEM,39,43683933,25514599,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 712 50 60,info@worldcourier.be,BE0417894905,95970,0417 894 905,Weiveldlaan 3-5,1930,www.worldcourier.com/be,Overige vervoerondersteunende activiteiten,Niet beursgenoteerd
97,COMAP,DWORP,28,43102806,71690521,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 378 23 39,,BE0401866347,12393177,0401 866 347,Alsembergsesteenweg 454,1653,,Groothandel in gereedschapswerktuigen,Niet beursgenoteerd
98,RECUPEL,ZAVENTEM,30,42933719,11828719,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 706 86 10,,BE0473923093,4405456,0473 923 093,Excelsiorlaan 91,1930,,Terugwinning van metaalafval,Niet beursgenoteerd
99,GROHE,SINT-STEVENS-WOLUWE,44,42892928,12980853,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 23 15 60,,BE0445870594,6947571,0445 870 594,Leuvensesteenweg 369,1932,www.grohe.be,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming,Niet beursgenoteerd
100,PALM,STEENHUFFEL,176,42773905,33286205,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 31 74 11,info@palmbreweries.com,BE0400724222,19549506,0400 724 222,Steenhuffeldorp 3,1840,www.palmbreweries.com,Vervaardiging van bier,Niet beursgenoteerd
101,B. BRAUN MEDICAL,DIEGEM,85,42692632,12922979,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 712 86 50,admin.be@bbraun.com,BE0407089994,10473823,0407 089 994,Lambroekstraat 5B,1831,www.bbraun.com,Groothandel in farmaceutische producten,Niet beursgenoteerd
102,SOMFY,ZAVENTEM,27,42371488,14644343,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 712 07 70,,BE0428276378,8271063,0428 276 378,Ikaroslaan 21,1930,www.somfy.be,"Groothandel in elektrisch materiaal, inclusief installatiemateriaal",Niet beursgenoteerd
103,SUEZ RR IWS REMEDIATION,GRIMBERGEN,88,42208371,34379408,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 85 25 40 34,belgium@sitaremediation.com,BE0457113389,10046260,0457 113 389,Westvaartdijk 83,1850,www.sitaremediation.be,Sanering en ander afvalbeheer,Niet beursgenoteerd
104,VAN LEEUWEN BUIZEN BELGIE - VAN LEEUWEN TUBES BELGIQUE,VILVOORDE,74,42110796,17588669,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 255 40 00,info@vanleeuwen.be,BE0402936119,6050433,0402 936 119,Schaarbeeklei 189,1800,vanleeuwen.com,Groothandel in ijzerwaren,Niet beursgenoteerd
105,PLAKABETON,TERNAT,146,42056514,183163783,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 582 29 45,info@plakabeton.be,BE0402642545,13556155,0402 642 545,Industrielaan 2,1740,,"Persen, stampen en profielwalsen van metaal; poedermetallurgie",Niet beursgenoteerd
106,THEUMA,ASSENT,189,41858361,27762523,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 35 12 00,,BE0440316949,13896565,0440 316 949,Zandstraat 10,3460,www.theuma.be,Vervaardiging van fineer en van panelen op basis van hout,Niet beursgenoteerd
107,STRYKER,DIEGEM,76,41726869,17833096,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 717 92 10,,BE0457612445,10152264,0457 612 445,Leonardo da Vincilaan 19,1831,,Groothandel in farmaceutische producten,Niet beursgenoteerd
108,CLEAR2PAY BELGIUM,DIEGEM,100,41443061,86740460,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 402 52 00,info@est.be,BE0430605764,23833948,0430 605 764,De Kleetlaan 6 A,1831,www.clear2pay.com,Markt- en opinieonderzoekbureaus,Niet beursgenoteerd
109,RINGOOT FRUIT,STROMBEEK-BEVER,6,41213210,5501682,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 242 63 17,info@lesrives.be,BE0415229482,1733839,0415 229 482,Strombeeklinde 32,1853,www.lesrives.be,"Groothandel in groenten en fruit, m.u.v. consumptieaardappelen",Niet beursgenoteerd
110,NUTRITION & SANTE BENELUX,VILVOORDE,34,41175483,26616489,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 789 22 00,,BE0861510745,7618729,0861 510 745,Medialaan 30,1800,,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
111,CONNECTIONS EUROTRAIN,VILVOORDE,171,41112949,33141458,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 550 01 90,nmr@usitconnections.be,BE0428666853,2003714,0428 666 853,Luchthavenlaan 10,1800,www.connections.be,Reisbureaus,Niet beursgenoteerd
112,BOLTON BELGIUM,DIEGEM,22,41012009,19071605,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 98 80,mail@solitaire.boltongroup.be,BE0447827521,4649949,0447 827 521,Culliganlaan 1 D,1831,www.boltongroup.net,Vervaardiging van zeep en wasmiddelen,Niet beursgenoteerd
113,COLOPLAST BELGIUM,HUIZINGEN,37,40764231,8245034,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 334 35 35,bemail@coloplast.com,BE0423051642,6754552,0423 051 642,Guido Gezellestraat 121,1654,www.coloplast.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
114,REMITRANS,KESTER,110,40707772,16009625,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 32 70 17,info@remitrans.be,BE0454234370,12156848,0454 234 370,Molenstraat 14,1755,www.remitrans.be,Overige vervoerondersteunende activiteiten,Niet beursgenoteerd
115,WOESTIJNVIS,VILVOORDE,121,40610600,14577375,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 303 35 00,info@woestijnvis.be,BE0460337749,11132488,0460 337 749,Harensesteenweg 228,1800,www.woestijnvis.be,Productie van televisieprogramma's,Niet beursgenoteerd
116,WESTPOLE BELGIUM,VILVOORDE,146,40431899,19819900,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 255 71 11,,BE0449223727,12227307,0449 223 727,Mechelsesteenweg 542,1800,www.iris-ict.eu,"Groothandel in computers, randapparatuur en software",Niet beursgenoteerd
117,EURO FRESH FOODS,MOLENSTEDE,12,40404156,13815330,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 77 11 96,contact@eff.be,BE0417694074,3564580,0417 694 074,Ambachtenlaan 3,3294,euroindiafoods.com,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
118,SONOVA BELGIUM,ZELLIK,20,40193710,32200186,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 468 19 81,infomail@phonak.be,BE0458388445,2213750,0458 388 445,Z. 3 Doornveld 122,1731,www.phonak.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
119,AGILENT TECHNOLOGIES BELGIUM,DIEGEM,153,39993949,46407042,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 404 90 00,,BE0466614837,23058647,0466 614 837,De Kleetlaan 5 b.9,1831,www.tm.agilent.com,"Groothandel in meet-, controle- en navigatieinstrumenten",Niet beursgenoteerd
120,HAROL BELGIE,WEBBEKOM,20,39703518,5010183,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 38 01 11,info@harol.be,BE0431100167,3841538,0431 100 167,Industriepark 3,3290,www.harol.be,Vervaardiging van metalen deuren en vensters,Niet beursgenoteerd
121,CINEM,TERNAT,26,39653218,10794154,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 456 00 39,info@cinem.be,BE0403208016,6352712,0403 208 016,Preflexbaan 162-165,1740,www.liebherr.be,Groothandel in elektrische huishoudelijke apparaten en audio- en videoapparatuur,Niet beursgenoteerd
122,PRICEWATERHOUSECOOPERS EU SERVICES,DIEGEM,8,39648740,26051275,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0872793825,850517,0872 793 825,Culliganlaan 5,1831,pwc.com,Markt- en opinieonderzoekbureaus,Niet beursgenoteerd
123,WORLDLINE FINANCIAL SOLUTIONS,ZAVENTEM,68,39630497,141659407,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 672 69 80,,BE0886476763,14066371,0886 476 763,Da Vincilaan 3,1930,www.payment-services.ingenico.com,"Overige ondersteunende activiteiten in verband met financiële diensten, exclusief verzekeringen en pensioenfondsen, n.e.g.",Niet beursgenoteerd
124,INTERPOLIMERI BV,WEMMEL,5,39601732,9544357,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 880 43 85,,BE0864422230,1543283,0864 422 230,Koningin Astridlaan 59B,1780,,"Groothandel in andere intermediaire producten, n.e.g.",Niet beursgenoteerd
125,NIKKISO BELGIUM,TIENEN,9,39484134,38365798,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 78 17 70,,BE0542825064,-1058409,0542 825 064,Industriepark 6,3300,nikkisomedical.com,Detailhandel in medische en orthopedische artikelen in gespecialiseerde winkels,Niet beursgenoteerd
126,DS SMITH PACKAGING MARKETING,DIEGEM,79,39176770,61864167,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 718 37 11,,BE0421120154,12987230,0421 120 154,Leonardo da Vincilaan 2,1831,,"Overige zakelijke dienstverlening, n.e.g.",Niet beursgenoteerd
127,GC MANUFACTURING EUROPE,HEVERLEE,38,39162358,38118122,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 40 48 32,,BE0644915188,4708444,0644 915 188,Interleuvenlaan 13,3001,,Vervaardiging van medische en tandheelkundige instrumenten en benodigdheden,Niet beursgenoteerd
128,PASHUYSEN,AARSCHOT,35,38861487,23873690,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 56 70 84,,BE0416578970,2913483,0416 578 970,Gaston Geenslaan 10 12,3200,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
129,ABB ROBOTICS SOLUTIONS,HUIZINGEN,125,38782173,28449518,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 360 14 15,,BE0844624827,11598585,0844 624 827,Guido Gezellestraat 126,1654,,"Installatie van industriële machines, toestellen en werktuigen",Niet beursgenoteerd
130,STERCKX,HALLE,31,38764995,17426281,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 488 976 767,,BE0664974788,2863718,0664 974 788,Brusselsesteenweg 480,1500,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
